epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,2916.23,1.22464,1.59096,1.52258,0.59225,0.41122,0.45027,0.29204,1.5018,2.15665,1.96309,0.000239465,0.000239465,0.000239465
175,2931.98,1.14299,1.4664,1.46659,0.5653,0.43106,0.45489,0.28715,1.5228,2.02565,1.98002,0.000231213,0.000231213,0.000231213
176,2948.69,1.1265,1.43836,1.43516,0.601,0.38512,0.44355,0.2867,1.53876,2.12413,2.02487,0.000222961,0.000222961,0.000222961
177,2965.07,1.15168,1.43697,1.45595,0.50742,0.43951,0.44594,0.28188,1.54605,2.09366,2.02553,0.00021471,0.00021471,0.00021471
178,2981.3,1.17326,1.46931,1.46917,0.54672,0.45658,0.44987,0.28763,1.53646,2.13781,2.00693,0.000206458,0.000206458,0.000206458
179,2997.34,1.09668,1.44519,1.44026,0.51713,0.42951,0.45259,0.28832,1.51379,2.04399,1.98019,0.000198206,0.000198206,0.000198206
180,3014.83,1.18541,1.50042,1.46715,0.55382,0.41002,0.45505,0.28957,1.51397,2.12177,1.99541,0.000189955,0.000189955,0.000189955
181,3031.31,1.11212,1.41392,1.43398,0.60539,0.42835,0.46468,0.30503,1.48583,2.04573,1.97856,0.000181703,0.000181703,0.000181703
182,3047.76,1.10742,1.45759,1.44018,0.52703,0.44561,0.44609,0.28762,1.53953,2.10612,1.9885,0.000173451,0.000173451,0.000173451
183,3063.99,1.11493,1.40222,1.42281,0.52935,0.45809,0.45447,0.29332,1.52553,2.11135,1.98655,0.0001652,0.0001652,0.0001652
184,3079.89,1.10408,1.42385,1.41316,0.51966,0.4478,0.42861,0.27578,1.48311,2.0636,1.96759,0.000156948,0.000156948,0.000156948
185,3096.66,1.09142,1.43308,1.4266,0.65769,0.39122,0.4606,0.29728,1.47941,2.10131,1.97114,0.000148696,0.000148696,0.000148696
186,3113.81,1.14593,1.43612,1.43803,0.59213,0.41122,0.44834,0.29157,1.47321,2.18664,1.98841,0.000140445,0.000140445,0.000140445
187,3131.04,1.14119,1.42766,1.41968,0.60687,0.39951,0.46404,0.2966,1.49498,1.9798,1.96552,0.000132193,0.000132193,0.000132193
188,3147.07,1.12647,1.41375,1.45831,0.5447,0.44561,0.45646,0.29268,1.46442,2.01075,2.01538,0.000123941,0.000123941,0.000123941
189,3163.27,1.09744,1.37489,1.41579,0.56758,0.41881,0.45374,0.29627,1.48517,2.03516,1.99918,0.00011569,0.00011569,0.00011569
190,3180.07,1.11567,1.42134,1.46881,0.53386,0.44493,0.45671,0.28661,1.5163,2.03459,2.00147,0.000107438,0.000107438,0.000107438
191,3199.8,1.09453,1.43601,1.48805,0.50681,0.45171,0.44094,0.27826,1.55382,2.12399,2.07409,9.91865e-05,9.91865e-05,9.91865e-05
192,3215.56,0.98831,1.26131,1.37287,0.55682,0.43951,0.44522,0.28542,1.51571,2.12383,2.04915,9.09349e-05,9.09349e-05,9.09349e-05
193,3231.92,1.00574,1.29867,1.39493,0.50511,0.4378,0.44315,0.28076,1.51379,2.04766,2.04945,8.26832e-05,8.26832e-05,8.26832e-05
194,3248.09,0.99361,1.27117,1.39488,0.46171,0.4475,0.4314,0.2702,1.55325,2.04524,2.07908,7.44316e-05,7.44316e-05,7.44316e-05
195,3265.4,0.99841,1.27421,1.39778,0.51017,0.4539,0.43865,0.27726,1.53571,2.034,2.08968,6.61799e-05,6.61799e-05,6.61799e-05
196,3281.41,0.97153,1.23072,1.37033,0.54616,0.43951,0.45088,0.28671,1.51877,2.03521,2.07258,5.79283e-05,5.79283e-05,5.79283e-05
197,3297.87,0.96395,1.24377,1.33985,0.55118,0.45704,0.46156,0.28656,1.52775,2.04189,2.06376,4.96766e-05,4.96766e-05,4.96766e-05
198,3313.63,0.96303,1.19369,1.33832,0.54115,0.43509,0.4535,0.28168,1.53802,2.05294,2.0568,4.1425e-05,4.1425e-05,4.1425e-05
199,3328.95,0.98264,1.19907,1.36164,0.5327,0.4639,0.44862,0.27753,1.53358,2.04902,2.0696,3.31733e-05,3.31733e-05,3.31733e-05
200,3346.08,0.95285,1.19899,1.33976,0.5554,0.45514,0.45183,0.28049,1.51876,2.05189,2.06444,2.49217e-05,2.49217e-05,2.49217e-05
