epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,701.809,1.29567,1.73842,1.30996,0.49778,0.47912,0.45452,0.29178,1.47135,2.04382,1.42694,0.0005941,0.0005941,0.0005941
43,717.972,1.2817,1.66275,1.29055,0.50747,0.55044,0.50641,0.31734,1.43592,1.81643,1.45201,0.0005842,0.0005842,0.0005842
44,734.128,1.26697,1.65183,1.30238,0.60634,0.48659,0.50245,0.32216,1.41641,1.8055,1.34851,0.0005743,0.0005743,0.0005743
45,750.159,1.28015,1.65042,1.30444,0.47447,0.51457,0.47417,0.31424,1.25821,1.83587,1.30721,0.0005644,0.0005644,0.0005644
46,766.43,1.21332,1.58334,1.27115,0.4622,0.52878,0.43725,0.25015,1.48194,1.8742,1.37302,0.0005545,0.0005545,0.0005545
47,782.578,1.27619,1.64781,1.27488,0.51481,0.54098,0.47474,0.29667,1.47682,1.72701,1.37474,0.0005446,0.0005446,0.0005446
48,799.059,1.22934,1.60272,1.27257,0.42381,0.52146,0.44666,0.29555,1.33756,1.69374,1.32405,0.0005347,0.0005347,0.0005347
49,816.076,1.22594,1.617,1.2707,0.43948,0.60383,0.46656,0.30879,1.39353,1.77641,1.38121,0.0005248,0.0005248,0.0005248
50,832.123,1.19033,1.61153,1.27053,0.54452,0.4709,0.51222,0.32758,1.41552,1.72923,1.40093,0.0005149,0.0005149,0.0005149
51,848.31,1.2123,1.56729,1.28574,0.48217,0.49424,0.48975,0.32903,1.36634,1.65169,1.37394,0.000505,0.000505,0.000505
52,864.29,1.20334,1.57947,1.26473,0.50132,0.51944,0.4811,0.2958,1.45251,1.73517,1.41459,0.0004951,0.0004951,0.0004951
53,880.589,1.18981,1.53838,1.2637,0.50554,0.51049,0.51491,0.31248,1.5384,1.65653,1.44955,0.0004852,0.0004852,0.0004852
54,897.356,1.17279,1.54356,1.25443,0.51995,0.56098,0.50655,0.33674,1.32709,1.80734,1.38002,0.0004753,0.0004753,0.0004753
55,913.864,1.22926,1.55146,1.26927,0.43353,0.53927,0.48764,0.28909,1.44659,1.66812,1.4068,0.0004654,0.0004654,0.0004654
56,930.464,1.21064,1.54494,1.28692,0.44009,0.55927,0.49267,0.30644,1.38148,1.73648,1.38543,0.0004555,0.0004555,0.0004555
57,946.906,1.19907,1.49539,1.26363,0.54667,0.49049,0.43303,0.27786,1.24617,1.8165,1.35558,0.0004456,0.0004456,0.0004456
58,963.136,1.12444,1.43873,1.24702,0.46675,0.60366,0.48745,0.31363,1.36711,1.7674,1.38427,0.0004357,0.0004357,0.0004357
59,978.541,1.20857,1.52911,1.26428,0.5645,0.51829,0.49431,0.33192,1.33699,1.78462,1.31815,0.0004258,0.0004258,0.0004258
60,994.667,1.13572,1.47575,1.21687,0.50819,0.4939,0.45774,0.28837,1.49682,1.79773,1.44159,0.0004159,0.0004159,0.0004159
61,1011.2,1.15299,1.48187,1.24722,0.50015,0.4861,0.42099,0.26761,1.47642,2.11709,1.46577,0.000406,0.000406,0.000406
62,1028.81,1.13182,1.42204,1.24002,0.50879,0.55707,0.45578,0.31547,1.23719,1.93472,1.33236,0.0003961,0.0003961,0.0003961
63,1044.47,1.16333,1.49151,1.25052,0.44311,0.55551,0.44997,0.29965,1.34878,1.71443,1.33195,0.0003862,0.0003862,0.0003862
64,1060.96,1.1566,1.45112,1.24829,0.49958,0.49439,0.49524,0.3191,1.43663,1.86478,1.41772,0.0003763,0.0003763,0.0003763
65,1076.46,1.12245,1.39301,1.21727,0.464,0.50289,0.44966,0.30632,1.22518,2.02298,1.31944,0.0003664,0.0003664,0.0003664
66,1092.72,1.13171,1.40092,1.23749,0.49552,0.51049,0.45151,0.29155,1.33353,1.87611,1.38106,0.0003565,0.0003565,0.0003565
67,1108.7,1.12666,1.37179,1.21362,0.50041,0.4761,0.45339,0.29844,1.3977,1.85011,1.40644,0.0003466,0.0003466,0.0003466
68,1125.09,1.14027,1.41918,1.25405,0.41392,0.62204,0.49311,0.30887,1.42262,1.7067,1.47242,0.0003367,0.0003367,0.0003367
69,1142.4,1.10277,1.39236,1.21818,0.47451,0.44951,0.45231,0.27528,1.43042,1.82903,1.45698,0.0003268,0.0003268,0.0003268
70,1158.41,1.06807,1.30165,1.18972,0.59952,0.44171,0.49179,0.32981,1.30402,1.74042,1.37003,0.0003169,0.0003169,0.0003169
71,1173.94,1.06621,1.30864,1.19575,0.53508,0.48488,0.47981,0.3031,1.42264,1.78791,1.40961,0.000307,0.000307,0.000307
72,1190.6,1.09156,1.33252,1.20777,0.57042,0.4985,0.49647,0.32782,1.30679,1.68305,1.34322,0.0002971,0.0002971,0.0002971
73,1206.3,1.08935,1.30253,1.20659,0.44016,0.55367,0.46099,0.29595,1.40129,1.86141,1.42994,0.0002872,0.0002872,0.0002872
74,1222.4,1.04862,1.30257,1.18427,0.41973,0.55951,0.45195,0.29697,1.37812,1.85115,1.40271,0.0002773,0.0002773,0.0002773
